ocd-division/country:us/state:nc/county:cumberland/precinct:g1b	ocd-division/country:us/state:nc/county:cumberland/precinct:g1
ocd-division/country:us/state:nc/county:cumberland/precinct:g2a	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g2b	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g2c-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g2c-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g2d	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g2e-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g2e-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g2
ocd-division/country:us/state:nc/county:cumberland/precinct:g3a-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g3
ocd-division/country:us/state:nc/county:cumberland/precinct:g3a-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g3
ocd-division/country:us/state:nc/county:cumberland/precinct:g3b	ocd-division/country:us/state:nc/county:cumberland/precinct:g3
ocd-division/country:us/state:nc/county:cumberland/precinct:g3c	ocd-division/country:us/state:nc/county:cumberland/precinct:g3
ocd-division/country:us/state:nc/county:cumberland/precinct:g4a	ocd-division/country:us/state:nc/county:cumberland/precinct:g4
ocd-division/country:us/state:nc/county:cumberland/precinct:g4b	ocd-division/country:us/state:nc/county:cumberland/precinct:g4
ocd-division/country:us/state:nc/county:cumberland/precinct:g4c	ocd-division/country:us/state:nc/county:cumberland/precinct:g4
ocd-division/country:us/state:nc/county:cumberland/precinct:g5a-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g5
ocd-division/country:us/state:nc/county:cumberland/precinct:g5a-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g5
ocd-division/country:us/state:nc/county:cumberland/precinct:g5b-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g5
